,treatment ,lv,root,G1,G2,G3,H1,H2,H3,L1,L2,L3,WSA,pH,WHC,MWD,respiration
155,Si-P,2,6.48,0.8991,0.9835,0.6188,0.2138,0,0,0.0113,0.5461,2.2405,30.9554351,7.49,31.9,0.641,1013.526
156,Si-V,2,6.16,2.3417,2.0764,0.1491,0.0617,0,0,0,1.628,3.0496,27.86774629,7.51,27.9,0.641,1653.139
157,St-Be,2,3.68,0.6789,0.4426,0.5309,0.0441,0.5033,0,0.0635,0.0595,0.1505,34.82048574,7.54,30.6,0.734,2466.601
158,St-Bi,2,7.26,0.1245,0.8415,1.4632,0.0462,0.2079,0.2168,0.0189,0.1745,5.5081,35.62252745,7.56,28.5,0.724,1301.785
159,St-V,2,6.23,0.4811,0.4628,0.0924,0.218,0.9586,0.0324,1.1728,0.3717,6.4573,33.8429645,7.44,29.1,0.719,1190.723
160,St-P,2,8.29,0.8239,0.0417,1.0485,0.2046,0.6197,0.0394,0.2055,0.2412,3.2122,27.92516866,7.57,29.4,0.709,1043.021
161,Be-Bi,2,6.31,0.196,0.5053,1.5928,0.1021,0.2879,0.0234,0.3393,0.2614,6.3439,25.39601864,7.55,30,0.721,899.0499
162,Be-V,2,5.28,1.6985,0.2662,2.2379,0.1985,0.0412,0,0.2688,0.21,3.8954,28.07366243,7.48,30,0.7,1934.776
163,Be-P,2,9.5,4.9784,0.627,1.3089,0.088,0.0373,0.0001,0.0017,0.4245,0.9386,26.42860151,7.54,26,0.736,1451.555
164,Bi-P,2,5.17,0,0.5648,2.6722,0.1411,0.0061,0,0.011,0.1712,6.6791,29.97964894,7.55,29.9,0.715,1250.782
165,Bi-V,2,3.64,2.3159,0.4437,0.0964,0.0972,0,0,0.0991,0.0093,1.4534,29.06436907,7.48,32.1,0.678,1915.632
166,P-V,2,5.5,1.1602,3.6322,0.0006,0.6347,0,0,0,0.4786,4.7049,38.94589972,7.47,28.1,0.687,1233.423
