A,Be,Bi,P,St,Si,V,treatment ,evenness,richness,root,plant,FG_G,FG_H,FG_L,WSA,pH,WHC,lv,remark,nr,dissim
0,0,0,1,0,0,1,P-V,0.713469016,6,5.5,10.6112,4.793,0.6347,5.1835,38.94589972,7.47,28.1,2,2,166,0.399615847
0,1,1,1,0,0,0,Bi-Be-P,0.750573214,9,6.77,8.0317,1.9005,0.9375,5.1937,21.39610768,7.16,27,3,3,116,0
0,1,0,0,0,1,1,Be-Si-V,0.692885266,8,7.71,9.2049,4.4383,0.2738,4.4928,39.45923306,7.21,30.6,3,3,117,0.3639779
0,0,0,1,0,1,1,P-Si-V,0.724808983,8,10.37,6.3836,3.7108,0.1271,2.5457,37.21164409,7.15,32.6,3,3,118,0.373167939
0,1,1,0,0,1,0,Bi-Be-Si,0.850249781,7,3.88,5.3354,3.4938,1.534,0.3076,37.15136745,7.22,33.4,3,3,119,0.622602006
1,0,0,1,0,1,0,A-P-Si,0.878920377,8,5.3,6.2221,2.9485,0.9111,2.3625,30.08820241,7.18,31.9,3,3,120,0.552956377
0,0,0,0,1,1,1,St-Si-V,0.778230349,8,5.66,5.5097,2.2521,0.8345,2.4231,44.92775212,7.17,30.6,3,3,121,0.712628469
0,0,1,1,0,1,0,Bi-P-Si,0.558083954,9,6.67,8.5107,1.4883,0.9635,6.0589,42.2041299,7.2,26.3,3,3,122,0.635006138
1,0,0,1,1,0,0,A-P-St,0.696522696,9,5.73,6.1309,1.7476,0.9648,3.4185,37.49834137,7.2,29.2,3,3,123,1
1,0,1,0,0,0,1,A-Bi-V,0.680284813,9,7.81,7.4237,2.7319,0.614,4.0778,35.6549982,7.09,30.8,3,3,124,0.582187799
0,1,1,0,0,0,1,Bi-Be-V,0.62843715,9,5.14,8.6409,3.6456,0.978,4.0173,35.53048209,7.05,32.7,3,3,125,0.43838593
1,1,0,1,0,1,0,A-Be-P-Si,0.727278106,8,7.37,15.7023,10.5772,0.6377,4.4874,38.16760171,7.13,29.5,4,4,126,0.095046759
0,1,1,1,1,0,0,Bi-Be-P-St,0.532689206,9,5.63,8.911,2.2901,0.5702,6.0507,28.51620332,7.22,31.8,4,4,127,0.433865995
0,0,1,1,1,1,0,Bi-P-St-Si,0.653221275,8,5.09,6.7141,1.5466,1.1976,3.9699,28.22202949,7.18,33.8,4,4,128,0.766543861
0,1,0,1,1,1,0,Be-P-St-Si,0.804673381,8,9.54,5.2553,2.1296,0.807,2.3187,42.24384395,7.24,33.9,4,4,129,0.244389019
